Site,total_beds,Bed_Group,Facility_name,Age,Admissions,Patient.Days,site_IP_factor,arr_lambda,LOS_rate
1,24,Abbott Pediatric/Adolescent,Abbott Northwestern Hospital,Adolescent,452,4448,0.548543689,0.051598174,236.1769912
2,62,Abbott Adult,Abbott Northwestern Hospital,Adult,1145,11293,0.657668007,0.130707763,236.7091703
3,24,Abbott Pediatric/Adolescent,Abbott Northwestern Hospital,Child,452,4448,0.548543689,0.051598174,236.1769912
4,10,Avera Adult,Avera Marshall Regional Medical Center,Adult,310,1706,0.178058587,0.035388128,132.0774194
5,14,Cambridge Adult,Cambridge Medical Center,Adult,394,3096,0.22630672,0.044977169,188.5888325
6,12,Rice Adult,Carris Health - Rice Memorial Hospital,Adult,370,2878,0.212521539,0.042237443,186.6810811
7,10,CentraCare Geriatric,CentraCare Health - Monticello,Geriatric,142,1779,0.081562321,0.016210046,300.6760563
8,16,Children Hospital Pediatric/Adolescent,Children's Minnesota,Child,349,1683,0.423543689,0.039840183,115.7363897
9,17,Children Hospital Pediatric/Adolescent,Children's Minnesota,Adolescent,349,1683,0.423543689,0.039840183,115.7363897
10,18,Essentia Duluth Pediatric/Adolescent,Essentia Health - Duluth,Adolescent,525,3627,0.637135922,0.059931507,165.8057143
11,38,Essentia Duluth Adult/Geriatric,Essentia Health - Duluth,Adult,1025,10499,0.588742102,0.117009132,245.8302439
12,18,Essentia Duluth Pediatric/Adolescent,Essentia Health - Duluth,Child,525,3627,0.637135922,0.059931507,165.8057143
13,38,Essentia Duluth Adult/Geriatric,Essentia Health - Duluth,Geriatric,1025,10499,0.588742102,0.117009132,245.8302439
14,35,Fairview Range Adult,Fairview Range,Adult,649,7136,0.372774268,0.074086758,263.8890601
15,108,Hennepin Adult,Hennepin Healthcare,Adult,1456,19457,0.836300976,0.166210046,320.7197802
16,12,Hutchinson Health Adult/Geriatric/Adolescent,Hutchinson Health,Adolescent,417,2872,0.162319969,0.04760274,165.294964
17,12,Hutchinson Health Adult/Geriatric/Adolescent,Hutchinson Health,Adult,417,2872,0.162319969,0.04760274,165.294964
18,12,Hutchinson Health Adult/Geriatric/Adolescent,Hutchinson Health,Geriatric,417,2872,0.162319969,0.04760274,165.294964
19,14,Lake Region Adolescent/Adult/Geriatric,Lake Region Healthcare,Adolescent,272,1846,0.105877773,0.031050228,162.8823529
20,14,Lake Region Adolescent/Adult/Geriatric,Lake Region Healthcare,Adult,272,1846,0.105877773,0.031050228,162.8823529
21,14,Lake Region Adolescent/Adult/Geriatric,Lake Region Healthcare,Geriatric,272,1846,0.105877773,0.031050228,162.8823529
22,10,Lakewood Reflections Geriatric,Lakewood Health System,Geriatric,22,261,0.012636416,0.002511416,284.7272727
23,18,Fairview Southdale Adult,M Health Fairview Southdale Hospital,Adult,439,3619,0.252153935,0.050114155,197.8496583
24,32,UM Fairview Pediatric/Adolescent,M Health Fairview University of Minnesota Medical Center,Adolescent,779,8265,0.94538835,0.088926941,254.6341463
